,median,mean,sum
234,2.4488466247475773,2.398369069743607,215.85321627692463
235,2.4488466247475773,2.398261395573138,215.84352560158243
236,2.4459874725627713,2.391673732008736,215.2506358807862
237,2.443540946145478,2.385086068444333,214.65774615998998
238,2.435221293089726,2.3784981925015916,214.06483732514323
239,2.4216270777119253,2.3731039313565243,213.5793538220872
240,2.401691074276404,2.361187787845855,212.50690090612696
241,2.3877207538645777,2.351160637592741,211.60445738334667
242,2.3859653481489302,2.341133487339626,210.70201386056635
243,2.3801839737257784,2.3386771993056112,210.480947937505
244,2.3732462067284477,2.3354168845450722,210.1875196090565
245,2.3732462067284477,2.3394047801579116,210.54643021421205
246,2.3732462067284477,2.343392675770752,210.90534081936767
247,2.3732462067284477,2.346425814880088,211.1783233392079
248,2.3732462067284477,2.3488877532267844,211.3998977904106
249,2.3732462067284477,2.353329246634734,211.79963219712607
250,2.3732462067284477,2.356533236554967,212.087991289947
251,2.3732462067284477,2.3591315061222233,212.3218355510001
252,2.3732462067284477,2.3622105504672457,212.5989495420521
253,2.370721934760476,2.3534942422868363,211.8144818058153
254,2.370721934760476,2.346938482274777,211.22446340472996
255,2.370721934760476,2.343555635106302,210.92000715956718
256,2.370721934760476,2.3399148734766966,210.5923386129027
257,2.366494064563116,2.333455691899538,210.01101227095842
258,2.363634073759549,2.325579553403734,209.30215980633602
259,2.363634073759549,2.317703414907929,208.59330734171363
260,2.3600366214495074,2.3114197565852264,208.02777809267036
261,2.347185215511777,2.3016585711065174,207.14927139958658
262,2.3323328769502396,2.292015897085051,206.28143073765457
263,2.3267344920163913,2.289894575884947,206.09051182964524
264,2.3267344920163913,2.2871849306164833,205.8466437554835
265,2.3267344920163913,2.284756063198404,205.62804568785637
266,2.3252303436382897,2.2811004925288136,205.2990443275932
267,2.318888283028517,2.2765264444974287,204.88738000476857
268,2.318888283028517,2.2728139777454284,204.55325799708856
269,2.318888283028517,2.269308491595546,204.23776424359914
